학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
교양기초(2019학번~),채플,,,,,교기,,YCA1004-01-00   ,0,채플(4) ,,,,,이대성,,,"javascript:OpenList5(""H1"",""20202"",""30105"");, ⓔ①⒞",O
교양기초(2019학번~),채플,,,,,교기,,YCA1004-02-00   ,0,채플(4) ,,,,,이대성,,,"javascript:OpenList5(""H1"",""20202"",""30105"");, ⓔ①②⑬⒞",O
교양기초(2019학번~),채플,,,,,교기,,YCA1012-01-00   ,0,예배채플(2) ,,,,,정미현,,,"javascript:OpenList5(""H1"",""20202"",""30105"");, ⓔ①⒞",O
교양기초(2019학번~),채플,,,,,교기,,YCA1008-01-00   ,.5,채플(D) ,,,,,이대성,,,"javascript:OpenList5(""H1"",""20202"",""30105"");, ⓔ①⒞",O
교양기초(2019학번~),채플,,,,,교기,,YCA1008-02-00   ,.5,채플(D) ,,,,,이대성,,,"javascript:OpenList5(""H1"",""20202"",""30105"");, ⓔ①②⑬⒞",O
교양기초(2019학번~),채플,,,,,교기,,YCA1010-01-00   ,.5,예배채플(B) ,,,,,정미현,,,"javascript:OpenList5(""H1"",""20202"",""30105"");, ⓔ①⒞",O
교양기초(2019학번~),기독교의이해,,,,,교기,,YCA1101-11-00   ,3,기독교와세계문화 ,,,,,조재국,"월7,8/수8",실시간온라인/백S208,"javascript:OpenList5(""H1"",""20202"",""30106"");, 7578⒝",O
교양기초(2019학번~),기독교의이해,,,,,교기,,YCA1102-12-00   ,3,기독교와현대사회 ,,,,,한인철,화7,동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""30106"");, 7178⒝",O
교양기초(2019학번~),기독교의이해,,,,,교기,,YCA1103-07-00   ,3,성서와기독교 ,,,,,김주환,"수1/금1,2",백S208/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30106"");, 7578⒝",O
교양기초(2019학번~),글쓰기,,,,,교기,,YCB1101-51-00   ,3,글쓰기 ,,,,,유광수,"월3,4/수4",실시간온라인/백S108,"javascript:OpenList5(""H1"",""20202"",""30107"");, 7578⒝",O
교양기초(2019학번~),글쓰기,,,,,교기,,YCB1101-52-00   ,3,글쓰기 ,,,,,유광수,"월5,6/수6",실시간온라인/백S408,"javascript:OpenList5(""H1"",""20202"",""30107"");, 7578⒝",O
교양기초(2019학번~),글쓰기,,,,,교기,,YCB1101-53-00   ,3,글쓰기 ,,,,,유광수,"월7,8/수8",실시간온라인/백S408,"javascript:OpenList5(""H1"",""20202"",""30107"");, 7578⒝",O
교양기초(2019학번~),글쓰기,,,,,교기,,YCB1101-54-00   ,3,글쓰기 ,,,,,김선혜,"화5,6/목4",실시간온라인/백S408,"javascript:OpenList5(""H1"",""20202"",""30107"");, 7578⒝",O
교양기초(2019학번~),글쓰기,,,,,교기,,YCB1101-55-00   ,3,글쓰기 ,,,,,전은주,"화7/목8,9",백S408/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30107"");, 7578⒝",O
교양기초(2019학번~),글쓰기,,,,,교기,,YCB1101-56-00   ,3,글쓰기 ,,,,,박경우,"수1/금1,2",백S408/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30107"");, 7578⒝",O
교양기초(2019학번~),글쓰기,,,,,교기,,YCB1101-57-00   ,3,글쓰기 ,,,,,박경우,"수3/금3,4",백S408/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30107"");, 7578⒝",O
교양기초(2019학번~),글쓰기,,,,,교기,,YCB1101-58-00   ,3,글쓰기(기초한국어) ,,,,,전은주,"화4/목5,6",백S408/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30107"");, 7578④⒝",O
교양기초(2019학번~),(~2019학번)대학영어,,,,,교기,,YCC1001-01-00   ,2,대학기본영어Ⅰ ,,,,,유제왕,"화5,목5",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30108"");, ⒝",O
교양기초(2019학번~),(~2019학번)대학영어,,,,,교기,,YCC1002-01-00   ,2,대학기본영어Ⅱ ,,,,,베켓제레미,"월4,수4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30108"");, ⒝",O
교양기초(2019학번~),(~2019학번)대학영어,,,,,교기,,YCC1101-01-00   ,2,대학영어Ⅰ ,,,,,유제왕,"화6,목6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30108"");, ⒝",O
교양기초(2019학번~),(~2019학번)대학영어,,,,,교기,,YCC1101-02-00   ,2,대학영어Ⅰ ,,,,,베켓제레미,"월2,수2",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30108"");, ⒝",O
교양기초(2019학번~),(~2019학번)대학영어,,,,,교기,,YCC1101-03-00   ,2,대학영어Ⅰ ,,,,,베켓제레미,"월7,수7",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30108"");, ⒝",O
교양기초(2019학번~),(~2019학번)대학영어,,,,,교기,,YCC1102-01-00   ,2,대학영어Ⅱ ,,,,,오진숙,"화2,목2",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30108"");, ⒝",O
교양기초(2019학번~),(~2019학번)대학영어,,,,,교기,,YCC1102-02-00   ,2,대학영어Ⅱ ,,,,,오진숙,"화3,목3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30108"");, ⒝",O
교양기초(2019학번~),(~2019학번)대학영어,,,,,교기,,YCC1102-03-00   ,2,대학영어Ⅱ ,,,,,베켓제레미,"월8,수8",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30108"");, ⒝",O
교양기초(2019학번~),(~2019학번)대학영어,,,,,교기,,YCC1201-01-00   ,2,고급대학영어Ⅰ ,,,,,유제왕,"화4,목4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30108"");, ⒝",O
교양기초(2019학번~),(~2019학번)대학영어,,,,,교기,,YCC1202-01-00   ,2,고급대학영어Ⅱ ,,,,,베켓제레미,월3,실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30108"");, ⒝",O
